topic,link,domain,published_date,title,lang,cleaned_title,sentiment_score,sentiment
WORLD,https://www.capitalfm.co.ke/business/2020/08/coronavirus-wreaks-havoc-on-africas-safari-industry-survey/,capitalfm.co.ke,2020-08-17 08:25:30,Coronavirus Wreaks Havoc on Africa's Safari Industry – Survey,en,coronavirus wreaks havoc on africas safari industry  survey,-0.5994,Negative
TECHNOLOGY,https://www.zdnet.com/product/lenovo-thinkpad-x1-carbon-8th-gen/,zdnet.com,2020-08-13 14:21:00,Lenovo ThinkPad X1 Carbon (8th Gen) review: Flagship ultraportable maintains the quality Review,en,lenovo thinkpad x1 carbon 8th gen review flagship ultraportable maintains the quality review,0.1027,Positive
TECHNOLOGY,https://gamingbolt.com/final-fantasy-7-remakes-physical-sales-lower-than-expected-due-to-covid-19-but-digital-sales-grew-significantly,gamingbolt.com,2020-08-06 10:38:21,"Final Fantasy 7 Remake’s Physical Sales Lower Than Expected Due To COVID-19, But Digital Sales “Grew Significantly”",en,final fantasy 7 remakes physical sales lower than expected due to covid19 but digital sales grew significantly,-0.1531,Negative
TECHNOLOGY,https://www.techradar.com/news/save-big-on-dell-xps-deals-massive-laptop-sales-offer-extra-10-off-sitewide-at-dell,techradar.com,2020-08-14 13:23:00,Save big on Dell XPS deals: massive laptop sales offer extra 10% off sitewide at Dell,en,save big on dell xps deals massive laptop sales offer extra 10 off sitewide at dell,0.4939,Positive
TECHNOLOGY,https://9to5mac.com/2020/08/05/latest-data-suggests-ipad-sales-hit-highest-growth-rate-in-6-years-during-q2/,9to5mac.com,2020-08-05 17:55:00,Latest data suggests iPad sales hit highest growth rate in 6 years during Q2,en,latest data suggests ipad sales hit highest growth rate in 6 years during q2,0.3818,Positive
HEALTH,https://www.techgenyz.com/2020/08/06/scientists-map-body-wide-production-protein-important-role-covid-19/,techgenyz.com,2020-08-06 06:19:36,"Scientists map body-wide production of a protein with ""important role"" in COVID-19",en,scientists map bodywide production of a protein with important role in covid19,0.2023,Positive
HEALTH,https://scientect.com/news/130856/global-hormone-refractory-breast-cancer-market-seeking-excellent-growth-industry-share-size-2020-movements-by-growth-status-trend-analysis-f-hoffmann-la-roche-ltd-astrazeneca-bluefish-pharmaceu/,scientect.com,2020-08-17 13:29:00,"Global Hormone Refractory Breast Cancer Market Seeking Excellent Growth |Industry Share, Size 2020 Movements by Growth Status, Trend Analysis- F. Hoffmann La Roche Ltd, AstraZeneca, Bluefish Pharmaceuticals AB, Boehringer Ingelheim International GmbH, Neopharm Group",en,global hormone refractory breast cancer market seeking excellent growth industry share size 2020 movements by growth status trend analysis f hoffmann la roche ltd astrazeneca bluefish pharmaceuticals ab boehringer ingelheim international gmbh neopharm group,0.6908,Positive
TECHNOLOGY,https://www.vg247.com/2020/08/04/get-ready-quakecon-weekend-sales-80-off-bethesda-games-gog-xbox-store/,vg247.com,2020-08-04 14:07:15,Get ready for QuakeCon this weekend with sales of up to 80% off on Bethesda games from GOG and Xbox Store,en,get ready for quakecon this weekend with sales of up to 80 off on bethesda games from gog and xbox store,0.3612,Positive
WORLD,https://en.antaranews.com/news/153802/the-third-china-international-import-expo-ciie-larger-high-quality-international-import-expo-gearing-up-for-november,en.antaranews.com,2020-08-08 12:30:32,"The third China International Import Expo (CIIE): Larger, high-quality international import expo gearing up for November",en,the third china international import expo ciie larger highquality international import expo gearing up for november,0.0,Neutral
WORLD,https://www.theguardian.com/uk-news/2020/aug/09/travel-industry-urges-uk-to-rethink-covid-19-quarantine-policy,theguardian.com,2020-08-09 17:15:00,Battered travel industry urges UK to rethink Covid-19 quarantine policy,en,battered travel industry urges uk to rethink covid19 quarantine policy,0.0,Neutral
WORLD,https://www.theguardian.com/us-news/2020/aug/11/mike-pompeo-arms-sales-saudi-arabia-watchdog-report,theguardian.com,2020-08-11 22:11:00,"Pompeo failed to 'fully assess' civilian cost of Saudi arms sales, watchdog finds",en,pompeo failed to fully assess civilian cost of saudi arms sales watchdog finds,-0.5106,Negative
TECHNOLOGY,https://www.nintendolife.com/news/2020/08/switch_software_sales_are_comfortably_beating_the_ps2s_the_best-selling_console_of_all_time,nintendolife.com,2020-08-06 15:30:00,"Switch Software Sales Are Comfortably Beating The PS2's, The Best-Selling Console Of All Time",en,switch software sales are comfortably beating the ps2s the bestselling console of all time,-0.0516,Neutral
TECHNOLOGY,https://www.livemint.com/companies/news/bicycle-sales-soar-but-key-parts-are-in-short-supply-11597283370715.html,livemint.com,2020-08-13 01:54:15,"Bicycle sales soar, but key parts are in short supply",en,bicycle sales soar but key parts are in short supply,0.0,Neutral
HEALTH,https://www.globalvillagespace.com/england-textile/,globalvillagespace.com,2020-08-03 12:33:41,Modern Slavery still prevalent in England’s Textile Industry,en,modern slavery still prevalent in englands textile industry,-0.7003,Negative
TECHNOLOGY,https://appleinsider.com/articles/20/08/07/more-quality-control-issues-hit-iphone-12-but-wont-alter-launch,appleinsider.com,2020-08-07 09:48:07,"More quality control issues hit 'iPhone 12', but won't alter launch",en,more quality control issues hit iphone 12 but wont alter launch,0.0,Neutral
WORLD,https://www.aljazeera.com/news/2020/08/pompeo-cleared-wrongdoing-arms-sales-saudi-uae-200811060154329.html,aljazeera.com,2020-08-11 06:55:00,"Pompeo 'cleared of wrongdoing' over arms sales to Saudi, UAE",en,pompeo cleared of wrongdoing over arms sales to saudi uae,0.1027,Positive
TECHNOLOGY,https://www.design-reuse.com/news/48442/huawei-to-end-production-of-leading-edge-mobile-chipsets.html,design-reuse.com,2020-08-10 12:42:22,Huawei to end production of leading edge mobile chipsets,en,huawei to end production of leading edge mobile chipsets,0.0,Neutral
WORLD,https://www.businesslive.co.za/bd/life/2020-08-11-africas-168bn-tourism-industry-paralysed-by-covid-19/,businesslive.co.za,2020-08-11 14:58:00,Africa’s $168bn tourism industry paralysed by Covid-19,en,africas 168bn tourism industry paralysed by covid19,0.0,Neutral
WORLD,https://energy.economictimes.indiatimes.com/news/power/uranium-import-probe-threatens-u-s-nuclear-power-industry/65973596,energy.economictimes.indiatimes.com,2018-09-27 02:20:23,Uranium import probe threatens U.S. nuclear power industry,en,uranium import probe threatens us nuclear power industry,-0.3818,Negative
TECHNOLOGY,https://www.sciencefocus.com/news/racial-inequality-exacerbated-by-white-ai/,sciencefocus.com,2020-08-06 09:30:00,Racial inequality exacerbated by 'white AI',en,racial inequality exacerbated by white ai,0.0,Neutral
WORLD,https://www.theguardian.com/world/2020/aug/03/two-cruise-ships-hit-by-coronavirus-weeks-after-industry-restarts,theguardian.com,2020-08-03 08:47:00,Two cruise ships hit by coronavirus weeks after industry restarts,en,two cruise ships hit by coronavirus weeks after industry restarts,0.0,Neutral
HEALTH,https://www.bbc.co.uk/news/uk-england-leeds-53724961,bbc.co.uk,2020-08-10 15:41:47,Coronavirus: Ossett bed factory workers test positive,en,coronavirus ossett bed factory workers test positive,0.5574,Positive
HEALTH,https://riotimesonline.com/brazil-news/miscellaneous/covid-19/with-a-r100-million-donation-brazil-will-have-a-covid-19-vaccine-factory/,riotimesonline.com,2020-08-08 07:03:00,"After R$100 Million Donation, Brazil Will Have Domestic Covid-19 Vaccine Factory",en,after r100 million donation brazil will have domestic covid19 vaccine factory,0.0,Neutral
WORLD,https://www.businessinsider.com/russia-says-coronavirus-vaccine-ready-production-september-criticized-rushed-2020-8,businessinsider.com,2020-08-04 13:23:35,"Russia says COVID-19 vaccine set for production in Sept, heavy doubts",en,russia says covid19 vaccine set for production in sept heavy doubts,-0.296,Negative
HEALTH,https://primefeed.in/news/3777455/gestational-diabetes-treatment-market-size-share-industry-report-2017-2025/,primefeed.in,2020-08-04 08:14:00,"Gestational Diabetes Treatment Market Size & Share | Industry Report, 2017-2025",en,gestational diabetes treatment market size  share  industry report 20172025,0.296,Positive
WORLD,https://www.geo.tv/latest/301040-russia-aims-to-produce-millions-of-virus-doses-by-2021,geo.tv,2020-08-03 12:10:05,Russia aims to launch mass production of virus vaccine next month,en,russia aims to launch mass production of virus vaccine next month,0.0,Neutral
WORLD,https://www.satenaw.com/eskinder-nega-global-symbol-of-resistance-to-ethnic-inequality-oppression-and-injustice-in-ethiopia/,satenaw.com,2020-08-14 15:10:00,"Eskinder Nega : Global symbol of resistance to ethnic inequality,",en,eskinder nega  global symbol of resistance to ethnic inequality,0.0,Neutral
WORLD,https://menafn.com/1100626691/Georgia-sees-increase-in-fish-production,menafn.com,2020-08-12 19:34:20,Georgia sees increase in fish production,en,georgia sees increase in fish production,0.3182,Positive
WORLD,https://www.thejakartapost.com/seasia/2020/08/03/southeast-asia-needs-progress-as-pandemic-exacerbates-inequality-un.html,thejakartapost.com,2020-08-03 09:13:00,Southeast Asia needs progress as pandemic exacerbates inequality: UN - The Jakarta Post,en,southeast asia needs progress as pandemic exacerbates inequality un  the jakarta post,0.4215,Positive
TECHNOLOGY,https://www.dailymail.co.uk/sciencetech/article-8611233/WeChat-removal-hit-iPhone-sales-China-analyst-predicts.html,dailymail.co.uk,2020-08-10 10:04:43,"WeChat removal could hit iPhone sales in China, analyst predicts",en,wechat removal could hit iphone sales in china analyst predicts,0.0,Neutral
TECHNOLOGY,https://www.vanguardngr.com/2020/08/huawei-to-stop-smartphone-chip-production-due-to-us-sanctions/,vanguardngr.com,2020-08-08 12:28:00,Huawei to stop smartphone chip production due to US sanctions,en,huawei to stop smartphone chip production due to us sanctions,-0.296,Negative
TECHNOLOGY,https://www.sportskeeda.com/esports/valorant-riot-devs-bringing-new-quality-life-changes-in-game-ping-system,sportskeeda.com,2020-08-11 17:24:55,Valorant: Riot devs are bringing new quality of life changes to the in-game ping system,en,valorant riot devs are bringing new quality of life changes to the ingame ping system,-0.5574,Negative
TECHNOLOGY,https://www.prnewswire.com/news-releases/new-auto-tune-subscription-brings-professional-quality-vocal-production-tools-to-the-masses-301113255.html,prnewswire.com,2020-08-17 14:55:00,New Auto-Tune® Subscription Brings Professional Quality Vocal Production Tools to the Masses,en,new autotune subscription brings professional quality vocal production tools to the masses,0.0,Neutral
TECHNOLOGY,https://techcrunch.com/2020/08/04/qualified-series-a/,techcrunch.com,2020-08-04 17:17:08,Qualified raises $12M to make websites smarter about sales and marketing,en,qualified raises 12m to make websites smarter about sales and marketing,0.4588,Positive
